,cement,water,strength
380,475.0,142.0,57.226507999999995
381,315.0,145.0,81.75116932
382,505.0,195.0,64.0178466
383,451.0,165.0,78.80021203999999
384,516.0,162.0,41.36856
385,520.0,170.0,60.280886679999995
386,528.0,185.0,56.83350668
387,520.0,175.0,51.021224
388,385.0,158.0,55.55108132
389,500.1,200.0,44.13335876
390,450.1,200.0,39.37597436
391,397.0,167.0,55.647607959999995
392,333.0,167.0,47.27736932
393,334.0,189.0,44.32641204
394,405.0,175.0,52.30364936
395,200.0,190.0,49.249270679999995
396,516.0,162.0,41.36856
397,145.0,184.0,29.15794004
398,160.0,182.0,39.39665864
399,234.0,189.0,39.300132
400,250.0,159.0,67.86512268
401,475.0,162.0,58.522722879999996
402,285.0,163.0,53.57917996
403,356.0,160.0,58.99846132
404,275.0,162.0,76.23536132
405,500.0,151.0,69.83702404
432,165.0,163.81,26.200088
433,165.0,175.06,46.38794528
434,178.03,179.94,39.1622368
435,167.35,175.46,41.20308576
436,172.38,156.76,33.68779736
437,173.54,164.77,38.20386516
438,167.0,164.03,41.40992856
439,173.81,172.34,37.810863839999996
440,190.34,166.61,24.84871504
441,250.0,191.84,27.22051248
442,213.5,159.21,44.63667624
443,194.68,170.17,37.2661778
444,251.37,192.94,33.27411176
471,446.0,162.0,57.02655996
472,446.0,162.0,44.42293868
473,446.0,162.0,51.021224
474,446.0,162.0,53.38612668
485,387.0,157.0,50.23522136
486,387.0,157.0,46.68441996
487,387.0,157.0,46.68441996
497,355.0,145.0,44.02993736
498,355.0,145.0,55.45455468
499,491.0,210.0,55.55108132
500,491.0,201.0,57.915983999999995
507,424.0,178.0,62.052839999999996
509,424.0,168.0,72.09850532
515,202.0,206.0,21.96670536
519,284.0,179.0,43.733462679999995
523,359.0,154.0,62.935369279999996
524,359.0,154.0,59.494884039999995
531,436.0,218.0,23.84897484
536,393.0,192.0,39.604880392
537,480.0,192.0,43.942373908
545,255.0,192.0,18.746162964
546,333.0,192.0,31.966865263999996
548,289.0,192.0,25.573354316
555,181.9,185.7,27.935499091999997
556,193.5,185.7,32.626693796000005
559,239.6,185.7,39.435269296
560,220.8,185.7,25.745033839999998
561,397.0,185.7,33.082437432
564,158.8,185.7,21.066249704
566,255.5,185.7,32.051670812
569,381.4,185.7,22.489328168
570,295.8,185.7,25.216895223999998
571,228.0,185.7,39.699338604
573,316.1,185.7,38.70028788
575,238.1,185.7,17.576122192
577,135.7,185.7,18.19871902
579,203.5,185.7,22.629981272
582,170.3,185.7,25.726417988
583,210.7,185.7,37.813621743999995
585,290.2,185.7,33.0431373
587,238.2,185.7,26.91369566
589,339.2,185.7,31.899986092
591,252.5,185.7,19.765208492
592,382.5,185.7,37.437857324
595,186.2,185.7,17.596806471999997
597,272.8,185.7,31.38150014
601,339.0,197.0,32.039949719999996
607,236.0,194.0,18.415903959999998
612,277.0,191.0,25.965666159999998
624,307.0,193.0,27.53077668
628,200.0,180.0,12.24509376
630,225.0,181.0,17.3403214
632,325.0,184.0,30.57136584
634,275.0,183.0,24.49708228
636,300.0,184.0,26.848195439999998
638,375.0,186.0,38.21075992
639,400.0,187.0,43.69898888
642,250.0,182.0,20.87043852
644,350.0,186.0,34.29453624
648,141.3,203.5,29.89223198
654,122.6,203.5,24.290928956
655,166.8,203.5,33.947729812
657,108.3,203.5,20.593958644
662,157.0,192.0,33.664355176
663,133.0,192.0,27.874825204
667,192.0,192.0,39.321505756
670,305.3,203.5,43.377003588
678,288.0,192.0,38.804398756000005
679,212.0,203.5,33.003837168
680,102.0,192.0,17.275510655999998
681,173.0,192.0,24.281965768
682,183.9,203.5,24.046164976
693,153.0,192.0,17.96429718
694,236.0,192.0,32.88455782
695,116.0,192.0,22.347985588
698,203.5,203.5,41.684340008
703,200.0,192.0,30.439675923999996
710,250.2,203.5,36.964187312
723,310.0,192.0,27.827251359999998
728,331.0,192.0,31.74347504
733,349.0,192.0,33.60506024
737,238.0,186.0,17.54026944
739,296.0,186.0,25.17966352
741,480.0,192.0,43.892042159999995
743,397.0,186.0,36.93522932
745,281.0,185.0,22.435549039999998
750,500.0,200.0,44.0919902
753,540.0,173.0,67.30664712
759,350.0,203.0,27.337723399999998
767,385.0,186.0,31.35047372
773,382.0,186.0,37.42475728
775,281.0,186.0,22.435549039999998
777,339.0,185.0,31.84000168
779,295.0,185.0,25.17966352
780,238.0,185.0,17.54026944
782,296.0,192.0,21.6495464
786,331.0,192.0,31.44700036
789,349.0,192.0,32.72253096
801,252.0,185.0,19.691434559999998
802,339.0,185.0,31.6469484
804,393.0,192.0,39.58281716
807,382.0,185.0,37.42475728
809,252.0,185.0,19.691434559999998
811,310.0,192.0,27.923778
818,525.0,189.0,55.94408264
822,322.0,203.0,25.17966352
824,302.0,203.0,21.7529678
825,397.0,185.0,39.0932892
828,522.0,146.0,74.98740975999999
829,273.0,210.0,37.16965116
830,162.0,179.0,33.75674496
831,154.0,220.0,16.49916068
832,147.0,202.0,19.98790924
833,152.0,168.0,36.34917472
834,310.0,168.0,33.68779736
835,144.0,158.0,15.41668336
836,304.0,214.0,33.41890172
837,374.0,190.0,39.05192064
838,159.0,175.0,27.67556664
839,153.0,200.0,26.8550902
840,310.0,168.0,45.2985732
841,305.0,196.0,30.12320644
842,151.0,167.0,15.568368079999999
843,142.0,174.0,44.6090972
844,298.0,201.0,53.52402188
845,321.0,190.0,57.21271848
846,366.0,191.0,65.90701084
847,280.0,172.0,52.82075636
848,252.0,194.0,33.398217439999996
849,165.0,182.0,18.0297974
850,156.0,180.0,37.36270444
851,160.0,203.0,32.83974188
852,298.0,186.0,42.63719584
853,318.0,210.0,40.0585556
854,287.0,188.0,41.940825079999996
855,326.0,174.0,61.232363559999996
856,356.0,193.0,40.865242519999995
857,132.0,179.0,33.301690799999996
858,322.0,186.0,52.42086028
859,164.0,181.0,15.08573488
860,314.0,170.0,38.45897128
861,321.0,182.0,37.25928304
862,140.0,237.0,35.225328839999996
863,288.0,177.0,42.13387836
864,298.0,210.0,31.874475479999997
865,265.0,195.0,41.540929
866,160.0,168.0,39.45181672
867,166.0,183.0,37.91428524
868,276.0,180.0,44.27814872
869,322.0,196.0,31.17810472
870,149.0,193.0,23.69039536
871,159.0,176.0,32.763899519999995
872,261.0,201.0,32.39847724
873,237.0,247.0,28.62704352
874,313.0,178.0,36.80422888
875,155.0,193.0,18.28490352
876,146.0,202.0,33.0603742
877,296.0,221.0,31.419421319999998
878,133.0,196.0,31.026419999999998
879,313.0,178.0,44.38846488
880,152.0,184.0,12.17614616
881,153.0,178.0,25.55887532
882,140.0,200.0,36.4388066
883,149.0,176.0,32.956952799999996
884,300.0,212.0,23.83518532
885,153.0,178.0,26.22766704
886,148.0,158.0,17.95395504
887,326.0,199.0,40.679083999999996
888,153.0,178.0,19.00885332
889,262.0,195.0,33.7153764
890,158.0,220.0,8.53571288
891,151.0,167.0,13.45857152
892,273.0,199.0,32.23989776
893,149.0,183.0,23.51802636
894,143.0,191.0,29.72331036
895,260.0,171.0,49.77327244
896,313.0,178.0,52.44154456
897,284.0,168.0,40.93419012
898,336.0,182.0,44.86420332
899,145.0,181.0,13.19657064
900,150.0,174.0,37.431652039999996
901,144.0,192.0,29.86810032
902,331.0,195.0,56.61287436
903,155.0,193.0,12.45883132
904,155.0,193.0,23.786922
905,135.0,180.0,13.29309728
906,266.0,178.0,39.417342919999996
907,314.0,179.0,46.2293658
908,313.0,127.0,44.51946532
909,146.0,182.0,23.73865868
910,144.0,178.0,26.14492992
911,148.0,181.0,15.520104759999999
912,277.0,191.0,43.5748832
913,298.0,164.0,35.85964676
914,313.0,178.0,41.05140104
915,155.0,194.0,28.98557104
916,289.0,195.0,46.24315532
917,148.0,171.0,26.91714304
918,145.0,202.0,10.53519328
919,313.0,178.0,25.0969264
920,136.0,172.0,29.06830816
921,155.0,193.0,9.735401119999999
922,255.0,189.0,33.79811352
923,162.0,216.0,39.84481804
924,136.0,199.0,26.96540636
925,164.0,197.0,27.234302
926,162.0,202.0,30.647208199999998
927,157.0,200.0,33.05347944
928,149.0,192.0,24.579819399999998
929,135.0,196.0,21.91154728
930,159.0,201.0,30.881630039999997
931,144.0,176.0,15.340841
932,154.0,228.0,24.3385028
933,167.0,185.0,23.8903434
934,184.0,213.0,22.93197176
935,156.0,221.0,29.41304616
936,236.9,246.9,28.629801423999997
937,313.3,178.5,36.804918356
938,154.8,193.3,18.287661424
939,145.9,202.5,32.720462532
940,296.0,221.4,31.420110796000003
941,133.1,195.7,28.937997196
942,313.3,178.5,40.925226931999994
943,151.6,184.4,12.180972492
944,153.1,178.5,25.559564796
945,139.9,200.3,36.443632932
946,149.5,175.8,32.96384756
947,299.8,211.5,23.835874796
948,153.1,178.5,26.233182848000002
949,148.1,158.1,17.959470848000002
950,326.5,199.0,38.630650804
951,152.7,178.1,19.009542795999998
952,261.9,195.4,33.71882378
953,158.4,219.7,8.536402356
954,150.7,166.7,13.461329424
955,272.6,198.7,32.245413568000004
956,149.0,182.9,23.524231644
957,143.0,190.7,29.726068263999995
958,259.9,170.6,49.77327244
959,312.9,177.6,52.446370892
960,284.0,168.3,40.934879596
961,336.5,181.9,44.868340176000004
962,144.8,180.8,13.202086448
963,150.0,173.8,37.431652039999996
964,143.7,191.6,29.870858223999996
965,330.5,194.9,56.619079643999996
966,154.8,193.3,12.459520796
967,154.8,193.3,23.786922
968,134.7,180.2,13.293786756
969,266.2,177.9,39.421479776
970,314.0,178.9,46.234192132
971,312.7,127.3,44.523602176000004
972,145.7,181.9,23.744174488
973,143.8,178.1,26.147687824
974,148.1,181.4,15.526310044
975,277.0,190.6,43.57833058
976,298.1,163.6,35.86585204399999
977,313.3,178.5,41.053469468
978,155.2,193.8,28.991086848000002
979,289.0,194.9,46.247292176
980,147.8,171.2,26.922658848
981,145.4,201.7,10.535882756
982,312.7,178.1,25.10382116
983,136.4,171.6,29.073134491999998
984,154.8,193.3,9.738159024
985,255.3,188.6,33.798802996
986,272.8,209.7,37.171030112
987,162.0,178.8,33.762260768
988,153.6,220.1,16.503987012
989,146.5,201.9,19.98790924
990,151.8,167.5,36.349864196
991,309.9,167.8,38.215586251999994
992,143.6,158.4,15.42357812
993,303.6,213.5,33.419591196
994,374.3,190.2,39.056057496
995,158.6,175.1,27.681082448
996,152.6,200.0,26.859916531999996
997,310.0,167.9,45.304778483999996
998,304.8,196.0,30.12320644
999,150.9,166.6,15.569747031999999
1000,141.9,173.5,44.61185510399999
1001,297.8,201.3,53.524711356
1002,321.3,190.5,57.21823428799999
1003,366.0,191.3,65.909079268
1004,279.8,172.4,52.826961643999994
1005,252.1,193.8,33.399596392
1006,164.6,181.6,18.033934256
1007,155.6,180.3,37.363393916
1008,160.2,203.2,35.314271244
1009,298.1,186.4,42.6440906
1010,317.9,209.7,40.062002979999995
1011,287.3,187.6,43.798273423999994
1012,325.6,174.0,61.23581094
1013,355.9,193.3,40.8686899
1014,132.0,178.9,33.306517131999996
1015,322.5,185.8,52.426376088
1016,164.2,181.2,15.091250688
1017,313.8,169.9,38.461039708
1018,321.4,182.5,37.265488323999996
1019,139.7,236.7,35.225328839999996
1020,288.4,177.4,42.14008364399999
1021,298.2,209.7,31.875164956000003
1022,264.5,195.5,41.542307951999994
1023,159.8,168.4,39.455953576
1024,166.0,183.2,37.917043144
1025,276.4,179.6,44.284354003999994
1026,322.2,196.0,31.178794196000002
1027,148.5,192.7,23.696600644
1028,159.1,175.6,32.768036376000005
1029,260.9,200.6,32.401235144
